股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sh600002,齐鲁石化,1998/8/5,5.21,5.25,5.16,5.21,5.2,1441257,7477459,1641150000,10159500000
sh600002,齐鲁石化,1998/8/6,5.23,5.26,5.15,5.16,5.21,1260400,6522333,1625400000,10062000000
sh600002,齐鲁石化,1998/8/7,5.15,5.15,5.11,5.11,5.16,2211800,11327579,1609650000,9964500000
sh600002,齐鲁石化,1998/8/10,5.1,5.1,5.02,5.05,5.11,2764750,13958674,1590750000,9847500000
sh600002,齐鲁石化,1998/8/11,5.05,5.1,4.98,5.01,5.05,2290250,11505960,1578150000,9769500000
sh600002,齐鲁石化,1998/8/12,5,5.01,4.78,4.9,5.01,4022800,19695300,1543500000,9555000000
sh600002,齐鲁石化,1998/8/13,4.9,4.99,4.87,4.94,4.9,3022809,14923094,1556100000,9633000000
sh600002,齐鲁石化,1998/8/14,4.94,4.95,4.8,4.81,4.94,2261393,10961267,1515150000,9379500000
sh600002,齐鲁石化,1998/8/17,4.79,4.79,4.33,4.33,4.81,3061855,13718308,1363950000,8443500000
sh600002,齐鲁石化,1998/8/18,4.25,4.51,4.18,4.32,4.33,3134750,13760423,1360800000,8424000000
sh600002,齐鲁石化,1998/8/19,4.32,4.52,4.31,4.5,4.32,3589544,15996814,1417500000,8775000000
sh600002,齐鲁石化,1998/8/20,4.5,4.52,4.4,4.49,4.5,3460639,15422268,1414350000,8755500000
sh600002,齐鲁石化,1998/8/21,4.5,4.69,4.48,4.67,4.49,4680944,21462691,1471050000,9106500000
sh600002,齐鲁石化,1998/8/24,4.66,4.73,4.57,4.59,4.67,4202743,19492359,1445850000,8950500000
sh600002,齐鲁石化,1998/8/25,4.57,4.58,4.48,4.53,4.59,1890417,8545145,1426950000,8833500000
sh600002,齐鲁石化,1998/8/26,4.5,4.54,4.47,4.48,4.53,1322099,5950807,1411200000,8736000000
sh600002,齐鲁石化,1998/8/27,4.46,4.47,4.36,4.36,4.48,1795274,7891369,1373400000,8502000000
sh600002,齐鲁石化,1998/8/28,4.35,4.46,4.32,4.39,4.36,1087050,4768417,1382850000,8560500000
sh600002,齐鲁石化,1998/8/31,4.38,4.41,4.11,4.4,4.39,2093672,8941778,1386000000,8580000000
sh600002,齐鲁石化,1998/9/1,4.3,4.65,4.3,4.48,4.4,4566215,20640726,1411200000,8736000000
sh600002,齐鲁石化,1998/9/2,4.45,4.56,4.41,4.5,4.48,2076377,9339778,1417500000,8775000000
sh600002,齐鲁石化,1998/9/3,4.5,4.52,4.45,4.47,4.5,1531195,6881840,1408050000,8716500000
sh600002,齐鲁石化,1998/9/4,4.48,4.52,4.46,4.49,4.47,1168720,5247122,1414350000,8755500000
sh600002,齐鲁石化,1998/9/7,4.5,4.54,4.46,4.52,4.49,1258580,5652656,1423800000,8814000000
sh600002,齐鲁石化,1998/9/8,4.5,4.52,4.41,4.42,4.52,1445400,6460206,1392300000,8619000000
sh600002,齐鲁石化,1998/9/9,4.4,4.49,4.38,4.48,4.42,1281729,5650987,1411200000,8736000000
sh600002,齐鲁石化,1998/9/10,4.48,4.57,4.47,4.54,4.48,3489141,15769907,1430100000,8853000000
sh600002,齐鲁石化,1998/9/11,4.55,4.62,4.53,4.54,4.54,2758350,12602321,1430100000,8853000000
sh600002,齐鲁石化,1998/9/14,4.55,4.57,4.47,4.55,4.54,2816316,12729572,1433250000,8872500000
sh600002,齐鲁石化,1998/9/15,4.55,4.64,4.54,4.57,4.55,3024275,13881202,1439550000,8911500000
sh600002,齐鲁石化,1998/9/16,4.58,4.78,4.58,4.65,4.57,4779079,22371469,1464750000,9067500000
sh600002,齐鲁石化,1998/9/17,4.7,4.73,4.52,4.56,4.65,3348309,15497672,1436400000,8892000000
sh600002,齐鲁石化,1998/9/18,4.58,4.6,4.42,4.44,4.56,3006000,13529998,1398600000,8658000000
sh600002,齐鲁石化,1998/9/21,4.42,4.48,4.38,4.44,4.44,1379088,6087507,1398600000,8658000000
sh600002,齐鲁石化,1998/9/22,4.46,4.6,4.45,4.5,4.44,1872402,8479390,1417500000,8775000000
sh600002,齐鲁石化,1998/9/23,4.5,4.65,4.5,4.6,4.5,3327410,15272550,1449000000,8970000000
sh600002,齐鲁石化,1998/9/24,4.6,4.6,4.39,4.4,4.6,2698271,12031389,1386000000,8580000000
sh600002,齐鲁石化,1998/9/25,4.4,4.52,4.38,4.5,4.4,1128772,5039585,1417500000,8775000000
sh600002,齐鲁石化,1998/9/28,4.61,4.94,4.56,4.82,4.5,12005792,57354196,1518300000,9399000000
sh600002,齐鲁石化,1998/9/29,4.83,4.9,4.68,4.71,4.82,8455526,40499040,1483650000,9184500000
sh600002,齐鲁石化,1998/9/30,4.72,4.83,4.68,4.77,4.71,3477103,16539705,1502550000,9301500000
