code,tradeStatus,code_name,date,codenumber
sh.000032,1,上证能源行业指数,2023-09-21,000032
sh.000033,1,上证原材料行业指数,2023-09-21,000033
sh.000034,1,上证工业行业指数,2023-09-21,000034
sh.000035,1,上证可选消费行业指数,2023-09-21,000035
sh.000036,1,上证主要消费行业指数,2023-09-21,000036
sh.000037,1,上证医药卫生行业指数,2023-09-21,000037
sh.000038,1,上证金融地产行业指数,2023-09-21,000038
sh.000039,1,上证信息技术行业指数,2023-09-21,000039
sh.000040,1,上证电信业务行业指数,2023-09-21,000040
sh.000041,1,上证公用事业行业指数,2023-09-21,000041
sh.000042,1,上证中央企业50指数,2023-09-21,000042
sh.000043,1,上证超级大盘指数,2023-09-21,000043
sh.000044,1,上证中盘,2023-09-21,000044
sh.000045,1,上证小盘,2023-09-21,000045
sh.000046,1,上证中小,2023-09-21,000046
sh.000047,1,上证全指,2023-09-21,000047
sh.000048,1,责任指数,2023-09-21,000048
sh.000049,1,上证民企,2023-09-21,000049
sh.000050,1,50等权,2023-09-21,000050
sh.000051,1,180等权,2023-09-21,000051
sh.000052,1,50基本,2023-09-21,000052
sh.000053,1,180基本,2023-09-21,000053
sh.000054,1,上证海外,2023-09-21,000054
sh.000056,1,上证国企,2023-09-21,000056
sh.000057,1,全指成长,2023-09-21,000057
sh.000058,1,全指价值,2023-09-21,000058
sh.000059,1,全R成长,2023-09-21,000059
sh.000060,1,全R价值,2023-09-21,000060
sh.000061,1,沪企债30,2023-09-21,000061
sh.000062,1,上证沪企,2023-09-21,000062
sh.000063,1,上证周期,2023-09-21,000063
sh.000064,1,非周期,2023-09-21,000064
sh.000065,1,上证龙头,2023-09-21,000065
sh.000066,1,上证商品,2023-09-21,000066
sh.000067,1,上证新兴,2023-09-21,000067
sh.000068,1,上证资源,2023-09-21,000068
sh.000069,1,消费80,2023-09-21,000069
sh.000070,1,能源等权,2023-09-21,000070
sh.000071,1,材料等权,2023-09-21,000071
sh.000072,1,工业等权,2023-09-21,000072
sh.000073,1,可选等权,2023-09-21,000073
sh.000074,1,消费等权,2023-09-21,000074
sh.000075,1,医药等权,2023-09-21,000075
sh.000076,1,金融等权,2023-09-21,000076
sh.000077,1,信息等权,2023-09-21,000077
sh.000078,1,电信等权,2023-09-21,000078
sh.000079,1,公用等权,2023-09-21,000079
sh.000090,1,上证流通,2023-09-21,000090
sh.000091,1,沪财中小,2023-09-21,000091
sh.000092,1,资源50,2023-09-21,000092
sh.000093,1,180分层,2023-09-21,000093
sh.000094,1,上证上游,2023-09-21,000094
sh.000095,1,上证中游,2023-09-21,000095
sh.000096,1,上证下游,2023-09-21,000096
sh.000097,1,高端装备,2023-09-21,000097
sh.000098,1,上证F200,2023-09-21,000098
sh.000099,1,上证F300,2023-09-21,000099
sh.000100,1,上证F500,2023-09-21,000100
sh.000101,1,上证5年期信用债指数,2023-09-21,000101
sh.000102,1,沪投资品,2023-09-21,000102
sh.000103,1,沪消费品,2023-09-21,000103
sh.000104,1,380能源,2023-09-21,000104
sh.000105,1,380材料,2023-09-21,000105
sh.000106,1,380工业,2023-09-21,000106
sh.000107,1,380可选,2023-09-21,000107
sh.000108,1,380消费,2023-09-21,000108
sh.000109,1,380医药,2023-09-21,000109
sh.000110,1,380金融,2023-09-21,000110
